Source,Target,Weight
Sulz am Neckar,Carlisle,85
Sulz am Neckar,Ehl,85
Sulz am Neckar,Saint-Ulrich,85
Sulz am Neckar,Lleida,85
Sulz am Neckar,Liverpool,85
Sulz am Neckar,Sarre-Union,85
Sulz am Neckar,Watercrook,85
Sulz am Neckar,Rudston,85
Sulz am Neckar,Miltenberg,85
Sulz am Neckar,Chartres,85
Sulz am Neckar,Lison,85
Sulz am Neckar,Terrassa,85
Sulz am Neckar,Salchenried,85
Sulz am Neckar,Andard,85
Sulz am Neckar,Fellbach,85
Sulz am Neckar,Exeter,85
Sulz am Neckar,Mannheim,85
Sulz am Neckar,Witham,85
Sulz am Neckar,Trôo,85
Sulz am Neckar,Loughor,85
Sulz am Neckar,Petronell (Carnuntum),85
Sulz am Neckar,Lunel-Viel,85
Sulz am Neckar,Calella,85
Sulz am Neckar,Arlempdes,85
Sulz am Neckar,Gaujac,85
Sulz am Neckar,La Franqui,85
Sulz am Neckar,Seengen,85
Sulz am Neckar,Rezé,85
Sulz am Neckar,Cagny,85
Sulz am Neckar,Lyon?,85
Sulz am Neckar,Saint-Romain-en-Gal,85
Sulz am Neckar,Minorca,85
Sulz am Neckar,Capestang,85
Sulz am Neckar,Bad Kreuznach,85
Sulz am Neckar,Solothurn,85
Sulz am Neckar,Unterkirchberg,85
Sulz am Neckar,Exning,85
Sulz am Neckar,Lora del Río,85
Sulz am Neckar,Pula,85
